student,What time do you normally eat lunch during the week?,pref Exchange,pref Resnik Cafe,pref La Prima,pref ABP,pref Chipotle,travel Exchange,travel Resnik Cafe,travel La Prima,travel ABP,travel Chipotle,wait Exchange,wait Resnik Cafe,wait La Prima,wait ABP,wait Chipotle
11/12/2019 16:45:59,12 pm - 1 pm,40,0,70,100,90,8,8,5,5,5,2,2,2,2,2
11/12/2019 16:53:54,12 pm - 1 pm,70,100,40,90,0,10,13,5,10,15,10,10,10,10,10
11/12/2019 16:54:22,12 pm - 1 pm,90,0,40,70,100,10,7,10,5,10,15,10,2,5,20
11/12/2019 16:54:57,12 pm - 1 pm,70,0,100,90,40,15,20,5,10,15,5,5,5,5,5
11/12/2019 16:56:45,12 pm - 1 pm,0,70,40,90,100,60,2,20,10,10,5,5,5,10,3
11/12/2019 16:58:12,12 pm - 1 pm,100,40,70,90,0,8,10,5,5,14,15,15,15,20,15
11/12/2019 17:06:17,12 pm - 1 pm,0,100,40,70,90,10,1,15,10,15,0,15,5,10,15
11/12/2019 17:07:31,12 pm - 1 pm,70,0,40,90,100,15,12,10,10,20,5,10,5,15,15
11/12/2019 17:10:09,12 pm - 1 pm,40,0,100,90,70,5,10,2,8,10,5,5,5,8,5
11/12/2019 17:12:17,12 pm - 1 pm,100,0,90,40,70,5,10,5,10,15,10,10,10,10,10
11/12/2019 17:19:46,12 pm - 1 pm,0,40,70,100,90,20,20,15,10,20,5,5,10,10,10
11/12/2019 17:23:33,12 pm - 1 pm,100,0,40,90,70,6.5,8.5,1.5,6.5,8,20,0,5,12.5,12.5
11/12/2019 17:30:43,12 pm - 1 pm,100,70,90,0,40,10,15,5,10,15,15,10,5,10,5
11/12/2019 17:51:24,12 pm - 1 pm,40,0,100,70,90,10,15,1,15,10,5,5,1,5,0
11/12/2019 17:56:13,12 pm - 1 pm,70,0,90,100,40,10,15,5,10,15,10,10,10,10,10
11/12/2019 18:09:27,12 pm - 1 pm,40,70,90,100,0,10,15,5,10,20,5,5,5,5,5
11/12/2019 18:15:29,12 pm - 1 pm,100,0,70,40,90,8,10,5,10,15,10,5,5,5,10
11/12/2019 18:28:49,12 pm - 1 pm,70,40,90,100,0,1,6,4,10,15,10,5,10,10,5
11/12/2019 19:52:14,12 pm - 1 pm,100,0,90,40,70,3,7,5,5,10,10,0,5,5,10
11/12/2019 21:10:20,12 pm - 1 pm,100,40,0,70,90,6,8,5,7,13,5,3,1,5,1
11/12/2019 21:18:37,12 pm - 1 pm,70,40,90,0,100,7,10,5,10,10,15,7,10,5,15
11/12/2019 22:26:32,12 pm - 1 pm,90,40,0,100,70,1,5,5,5,11,5,5,5,5,5
11/12/2019 23:02:24,12 pm - 1 pm,90,0,70,40,100,9,10,5,8,15,10,3,7,10,11
11/12/2019 23:51:33,12 pm - 1 pm,100,70,0,40,90,0,2,3,3,5,10,10,0,0,10
11/13/2019 12:13:27,12 pm - 1 pm,0,40,90,100,70,6,6,2,5,8,5,5,5,8,8
11/13/2019 13:14:32,12 pm - 1 pm,0,40,100,90,70,5,7,0,5,7,5,5,5,5,5
11/13/2019 15:25:50,12 pm - 1 pm,90,0,40,70,100,15,15,5,10,10,5,5,5,10,10
11/14/2019 6:00:56,12 pm - 1 pm,40,0,90,100,70,7,10,2,7,10,10,20,5,20,5
11/16/2019 23:04:50,12 pm - 1 pm,70,40,90,0,100,10,10,10,10,15,5,10,5,10,3
